957,648
617,33
915,323
760,515
82,365
1206,634
959,231
74,324
552,785
597,740
33,226
765,871
1195,407
1036,653
308,789
880,337
550,379
1084,71
750,308
914,227
922,861
492,569
1300,796
570,301
366,379
252,794
340,424
1019,550
443,407
1298,22
216,179
713,740
492,325
736,284
1004,589
716,189
293,205
560,751
396,59
1102,415
398,396
750,695
584,765
1143,849
398,834
28,213
291,446
587,327
582,376
798,393
126,826
422,527
274,345
877,873
684,661
1118,36
348,449
1044,45
654,476
552,337
994,462
1119,532
1233,675
378,432
433,378
1198,4
1285,425
490,261
870,726
304,267
537,147
808,65
388,333
1052,810
995,745
599,367
1041,154
315,149
750,59
246,297
385,826
711,527
599,527
288,693
1009,305
1265,110
298,661
961,864
929,868
534,26
952,386
872,327
517,648
104,515
940,91
380,793
792,661
348,305
1280,11
195,525
1272,649
912,498
808,348
5,513
994,742
396,535
326,866
741,794
1041,889
1310,526
440,726
174,742
217,644
1048,47
930,653
105,154
1044,849
1113,126
1288,739
586,731
1146,793
621,205
681,694
1081,350
1123,693
1051,226
263,126
796,120
25,3
194,834
443,39
164,585
316,796
691,670
1240,386
962,53
175,647
1059,217
1233,302
856,857
37,861
13,679
299,731
139,439
112,17
1084,519
544,884
855,504
323,563
1026,91
1135,373
587,444
10,348
512,495
435,805
200,261
63,350
806,135
109,84
999,768
1081,648
208,511
621,375
1014,890
726,129
1159,605
981,399
495,107
30,883
136,233
443,463
1168,393
22,739
1233,436
1111,371
870,676
846,661
186,633
927,591
457,484
52,429
1047,126
359,817
1277,689
432,149
638,390
296,60
1126,726
629,872
897,661
991,292
0,28
545,723
462,374
60,33
1076,46
1118,520
708,808
216,119
1120,233
27,208
1052,269
966,54
895,128
565,492
115,151
905,884
878,149
749,233
820,773
1011,731
714,403
765,810
306,305
164,793
373,470
566,378
219,441
1201,644
304,344
440,238
288,379
1205,154
656,418
692,709
1014,442
525,264
867,463
313,679
272,213
1027,296
1310,409
946,93
1006,381
818,569
52,9
55,329
666,348
222,821
795,455
264,705
200,353
1130,726
975,602
1303,180
214,280
1206,515
385,887
340,246
1052,311
760,379
1118,632
750,751
1307,115
723,567
232,586
684,856
1193,147
20,761
547,815
840,600
975,154
802,791
1017,205
902,73
618,185
1042,491
617,861
21,30
1096,4
410,149
1,651
65,320
591,408
139,455
88,516
626,486
559,343
99,262
35,173
1019,78
502,65
1044,625
1277,350
445,299
765,852
462,632
92,491
480,691
1228,521
987,234
1151,212
1310,37
1230,745
621,71
634,506
329,399
376,229
525,176
944,515
1096,238
932,432
